id,title,description,link,image_link,additional_image_link,price,availability,brand,condition,product_type,google_product_category
"tote-storykeeper","The Storykeeper","Shelves of old books and apothecary bottles stacked to the ceiling, printed deep on black — the library you'd happily get lost in. Lined in black, with a long strap that sits at the hip and an outside pocket for whatever you need first.","https://www.dragoninkandthread.com/tote-storykeeper.html","https://www.dragoninkandthread.com/assets/tote-storykeeper.jpg","https://www.dragoninkandthread.com/assets/tote-storykeeper-2.jpg,https://www.dragoninkandthread.com/assets/tote-storykeeper-3.jpg","32.00 USD","in stock","Dragon Ink and Thread","new","Totes","Apparel & Accessories > Handbags, Wallets & Cases > Handbags"
"tote-strawberry-v2","Strawberry Tote","A knot-style tote tumbling with wild strawberries and trailing green vines on cream — roomy, slouchy, and just right for carrying your current read and everything else.","https://www.dragoninkandthread.com/tote-strawberry-v2.html","https://www.dragoninkandthread.com/assets/tote-strawberry-v2.jpg","https://www.dragoninkandthread.com/assets/tote-strawberry-v2-2.jpg,https://www.dragoninkandthread.com/assets/tote-strawberry-v2-3.jpg,https://www.dragoninkandthread.com/assets/tote-strawberry-v2-4.jpg","35.00 USD","in stock","Dragon Ink and Thread","new","Totes","Apparel & Accessories > Handbags, Wallets & Cases > Handbags"
"tote-mustard-floral","Cottage Rose Tote","Dusty roses climbing over warm mustard-gold — a little vintage, a little sun-faded, endlessly cozy. The everyday tote with a storybook heart.","https://www.dragoninkandthread.com/tote-mustard-floral.html","https://www.dragoninkandthread.com/assets/tote-mustard-floral.jpg","","20.00 USD","in stock","Dragon Ink and Thread","new","Totes","Apparel & Accessories > Handbags, Wallets & Cases > Handbags"
"tote-blue-rose","Blue Rose Mini Tote","Tiny pink roses drifting over the softest powder blue — a sweet little mini tote, just right for your small everyday essentials.","https://www.dragoninkandthread.com/tote-blue-rose.html","https://www.dragoninkandthread.com/assets/tote-blue-rose.jpg","https://www.dragoninkandthread.com/assets/tote-blue-rose-2.jpg,https://www.dragoninkandthread.com/assets/tote-blue-rose-3.jpg","20.00 USD","in stock","Dragon Ink and Thread","new","Totes","Apparel & Accessories > Handbags, Wallets & Cases > Handbags"
"tote-butterfly","Butterfly Tote","Lily-of-the-valley and soft pink butterflies scattered across warm cream — a spring meadow you can carry. Fully lined, with a handy front pocket.","https://www.dragoninkandthread.com/tote-butterfly.html","https://www.dragoninkandthread.com/assets/tote-butterfly.jpg","https://www.dragoninkandthread.com/assets/tote-butterfly-2.jpg,https://www.dragoninkandthread.com/assets/tote-butterfly-inside.jpg","38.00 USD","in stock","Dragon Ink and Thread","new","Totes","Apparel & Accessories > Handbags, Wallets & Cases > Handbags"
"scrunchie-butterfly","Butterfly Scrunchie","Delicate butterflies scattered across soft cream — a little flutter of whimsy for your wrist or your hair.","https://www.dragoninkandthread.com/scrunchie-butterfly.html","https://www.dragoninkandthread.com/assets/scrunchie-butterfly.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-cherry-blossom","Cherry Blossom Scrunchie","Soft pink cherry blossoms on cream — springtime you can wear all year.","https://www.dragoninkandthread.com/scrunchie-cherry-blossom.html","https://www.dragoninkandthread.com/assets/scrunchie-cherry-blossom.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-cherry","Cherry Scrunchie","Sweet red cherries on a cozy ribbed knit — playful and just a little retro.","https://www.dragoninkandthread.com/scrunchie-cherry.html","https://www.dragoninkandthread.com/assets/scrunchie-cherry.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-orange-kitty","Orange Kitty Scrunchie","Peachy-pink with the tiniest kittens tucked in — for the cat lovers and daydreamers.","https://www.dragoninkandthread.com/scrunchie-orange-kitty.html","https://www.dragoninkandthread.com/assets/scrunchie-orange-kitty.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-pink-bumble-bee","Pink Bumble Bee Scrunchie","Ribbed blush pink dotted with busy little bees — soft, subtle, and sweet.","https://www.dragoninkandthread.com/scrunchie-pink-bumble-bee.html","https://www.dragoninkandthread.com/assets/scrunchie-pink-bumble-bee.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
